,Restaurant Name,Restaurant Name in Chinese,Restaurant URL,Address,Address Chinese,Budget Symbol,Opening Time,Opening Time Chinese,Delivery Hours,Delivery Hours Chinese,Rating,Rating Count,Restaurant Image URL,Longitude,Latitude,Tags,Tel No.,Postal Code,Dish Category Title,Dish Category Title Chinese,Dish Name,Dish Name Chinese,Dish Description Chinese,Original Price,Discounted Price,Dish Image URL,Product Variations,Product Variations Chinese
0,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Nasi Ayam Geprek Spesial,Nasi Ayam Geprek Spesial,Nasi Ayam Penyet,Nasi Ayam Penyet,Dish Description not available,MYR10.00,N/A,https://images.deliveryhero.io/image/fd-my/Products/1415625304.jpg," ,Price:  10     no sub category    "," ,Price:  10     no sub category    "
1,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Nasi Ayam Geprek Spesial,Nasi Ayam Geprek Spesial,Nasi Sup Kaki Ayam,Nasi Sup Kaki Ayam,Dish Description not available,MYR6.00,N/A,N/A," ,Price:  6     no sub category    "," ,Price:  6     no sub category    "
2,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Nasi Ayam Geprek Spesial,Nasi Ayam Geprek Spesial,Nasi Sehat,Nasi Sehat,Dish Description not available,MYR6.50,N/A,N/A," ,Price:  6.5     no sub category    "," ,Price:  6.5     no sub category    "
3,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Nasi Ayam Geprek Spesial,Nasi Ayam Geprek Spesial,Nasi Ayam Geprek Spesial,Nasi Ayam Geprek Spesial,Dish Description not available,from MYR9.00,from N/A,N/A,"

Regular ,Price:  9

Special ,Price:  12

Spicy ,Price:  12","

Regular ,Price:  9|

Special ,Price:  12|

Spicy ,Price:  12"
4,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Noodles,Noodles,Bee Hoon Soup,Bee Hoon Soup,Dish Description not available,MYR7.00,N/A,N/A," ,Price:  7     no sub category    "," ,Price:  7     no sub category    "
5,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Noodles,Noodles,Mee Soup,Mee Soup,Dish Description not available,MYR7.00,N/A,N/A," ,Price:  7     no sub category    "," ,Price:  7     no sub category    "
6,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Nasi Gulai,Nasi Gulai,Nasi Gulai Kawah Ayam Rempah,Nasi Gulai Kawah Ayam Rempah,Dish Description not available,MYR7.00,N/A,N/A," ,Price:  7     no sub category    "," ,Price:  7     no sub category    "
7,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Nasi Gulai,Nasi Gulai,Nasi Gulai Kawah Ayam Bajet,Nasi Gulai Kawah Ayam Bajet,Dish Description not available,MYR7.00,N/A,N/A," ,Price:  7     no sub category    "," ,Price:  7     no sub category    "
8,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Nasi Gulai,Nasi Gulai,Nasi Gulai Kawah Ayam Besar,Nasi Gulai Kawah Ayam Besar,Dish Description not available,MYR10.00,N/A,N/A," ,Price:  10     no sub category    "," ,Price:  10     no sub category    "
9,Wow Waffles,Wow Waffles,https://www.foodpanda.my/restaurant/h8xr/wow-waffles,"3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia","3, Jalan Kemboja, Kampung Dato Sulaiman Menteri, 81100 Johor Bahru, Johor, Malaysia",$,8:00 AM - 11:29 PM,上午8:00 - 下午11:29,"Mon-Thu,Sat,Sun8:00AM-6:00PM,8:00AM-6:00PM","周一-周四,周六,周日上午8:00-下午6:00,上午8:00-下午6:00",4.2/5,N/A,https://images.deliveryhero.io/image/fd-my/LH/h8xr-hero.jpg,103.7661972,1.5048753,|Desserts|Chicken|Penjana,,,Wow Waffle Selected Deals,Wow Waffle Selected Deals,Honeylicious Waffle,Honeylicious Waffle,Special crispy battered waffle with your favorite sweety honeylicious poured on it,MYR4.60,N/A,https://images.deliveryhero.io/image/fd-my/Products/1280308477.jpg," ,Price:  4.6     no sub category    "," ,Price:  4.6     no sub category    "
