Product No,Product Name,Product Remark,Unit price,Category name,Sub category Name,
222,Manchester Red,extra chiness,200,Main Course,Foods/Beverages,
01-02-00003-0,BOH DOUBLR CHAMBER,1x50S,7.6,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-02-00004-0,BOH DOUBLR CHAMBER,1x100S,12.7,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-02-00007-0,BOH POTBAG,1x40S,5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-02-00008-0,BOH POTBAG,1x80S,8.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-02-00010-0,BOH PACKET TEA,1x50G,1.6,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-02-00011-0,BOH PACKET TEA,1x100G,2.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-02-00012-0,BOH PACKET TEA,1x250G,6.3,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-02-00013-0,BOH PACKET TEA,1x500G,11.4,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-03-00025-0,NESCAFE CLASSIC JAR,1x100G,12.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-03-00028-0,NESCAFE CLASSIC (REFILL),1x200G,16.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-03-00032-0,NESCAFE CLASSIC JAR,1x50G,6.8,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-03-00034-0,NESCAFE CLASSIC (REFILL),1x300G,22.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-03-00039-0,NESCAFE GOLD,1x200G,34.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-03-00196-1,AH HUAT WHITE COFFEE (CLASSIC)  RM10.90,15x30G,10.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-03-00198-1,AH HUAT WHITE COFFEE (NO SUGAR),15x20G,13.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-03-00199-1,AH HUAT WHITE COFFEE (EXTRA RICH),15x40G,13.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00003-0,SUNQUICK (BLACKCURRANT),1x330ML,6.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00004-0,SUNQUICK (MANDARIN),1x330ML,5.6,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00006-0,SUNQUICK (ORANGE),1x330ML,5.6,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00007-0,SUNQUICK (TROPIKA),1x330ML,5.6,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00010-0,SUNQUICK (LEMON),1x840ML,11.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00011-0,SUNQUICK (MANDARIN),1x840ML,11.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00012-0,SUNQUICK (MIX MANGO),1x840ML,11.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00013-0,SUNQUICK (ORANGE),1x840ML,11.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00015-0,SUNQUICK (TROPIKA),1x840ML,11.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00109-0,SUNQUICK (BLACKCURRANT-GOLD),1x840ML,11.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00194-0,SUNQUICK (LEMON ICE TEA),1x840ML,11.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-04-00195-0,SUNQUICK (P.GUAVA+STRAWBERRY),1x840ML,12.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00003-1,YEO'S PACKET (SOYA BEAN),6x250ML,5.2,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00004-1,YEO'S PACKET (CHRYSANTHEMUM TEA),6x250ML,5.2,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00006-1,YEO'S PACKET (LYCHEE),6x250ML,5.2,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00008-1,YEO'S PACKET (SUGAR CANE),6x250ML,5.2,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00009-1,YEO'S PACKET (ICE LEMON TEA),6x250ML,5.2,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00012-0,YEO'S PACKET (SOYA BEAN),1x1L,2.8,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00014-0,YEO'S PACKET (CHRYSANTHEMUM TEA),1x1L,2.8,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00015-0,YEO'S PACKET (WINTER MELON TEA),1x1L,2.8,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00016-0,YEO'S PACKET (LYCHEE),1x1L,2.8,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00018-0,YEO'S PACKET (ICE LEMON TEA),1x1L,2.8,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00029-1,MARIGOLD ASIAN DRK (ICE LEMON TEA),6x250ML,4.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00030-1,MARIGOLD ASIAN DRK (LYCHEE),6x250ML,4.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00032-1,MARIGOLD ASIAN DRK (SOYA BEAN),6x250ML,4.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00051-1,YEO'S PACKET (GREEN TEA),6x250ML,5.2,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00060-0,DRINHO SOYA BEAN MILK,1x1L,2.65,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00062-0,DRINHO CHRYSANTHEMUN TEA,1x1L,2.65,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00063-0,DRINHO LYCHEE,1x1L,2.65,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00064-1,DRINHO ICE LEMON TEA,6x250ML,4.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00065-1,DRINHO LYCHEE,6x250ML,4.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00069-1,DRINHO ORANGE,6x250ML,4.7,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00072-1,DRINHO SOYA BEAN MILK,6x250ML,4.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00074-1,DRINHO SUGAR CANE,6x250ML,4.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00101-1,DRINHO MANGO,6x250ML,4.7,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00114-1,POKKA (JASMINE GREEN TEA),6x250ML,5.8,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00183-0,DRINHO ICE LEMON TEA,1x1L,2.65,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00225-1,SEASONS (LYCHEE),6x250ML,4.7,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-09-00241-0,WANT WANT MILK BEVERAGE,1x(125ML*4),7.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00017-1,MILO 3IN1 ACTIG-E +3S,20x(33G*18S),13.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00043-0,HORLICKS (ASLI),1x200G,7.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00046-0,HORLICKS (ASLI),1x400G,12.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00047-0,HORLICKS (ASLI) JAR,1x440G,15.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00049-1,HORLICKS 3 IN 1 (ORIGINAL),10x28G,11.3,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00104-0,MILO ACTIG-GO  (RM4.80),1x200G,4.8,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00108-0,MILO ACTIG-E,1x2KG,32.99,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00143-0,MILO 3IN1 ACTIG-GO (JIMATRM1.50),1x(33G*18S),13.2,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00144-0,MILO 3IN1 ACTIG-GO,1x(33G*30),21.9,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00158-0,MILO 3IN1 ACTIG-E,1x(33G*8),7.1,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00185-0,MILO ACTIG-E (+80G),1x400G,7.99,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00412-0,MENGNIU YOGURT DRINK ASST,1x230G,5.5,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00413-0,HOMESOY SWEET CORN PP,1x300ML,1.7,11758,Foods/Beverages,Foods/Beverages
,,,,,,
01-11-00414-0,HOMESOY SWEET CORN PP,1x750ML,3.6,11758,Foods/Beverages,Foods/Beverages
,,,,,,
,,,,,,
,,,,,,
02-01-00002-0,AYAM PINEAPPLE CUBES,1x454G,5,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00005-0,AYAM PINEAPPLE CHUNKS CUBES,1x565G,5.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00007-0,AYAM PINEAPPLE CUBES (EOE),1x425G,5,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00009-0,GOODLUCK FRUIT COCKTAIL,1x850G,7.1,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
